original,uniformat,equivalent
Juin-Kuan Chong,Juin-Kuan Chong,"['Juin-Kuan Chong', 'Chong, Juin-Kuan']"
"Jagtiani, Julapa",Julapa Jagtiani,"['Jagtiani, Julapa']"
Niels Møller,Niels Møller,['Niels Møller']
William George Nelson IV,William George Nelson IV,['William George Nelson IV']
"Le Quement, Mark T.",Mark T. Le Quement,"['Le Quement, Mark T.']"
"Brandon Lockhart, G.",G. Brandon Lockhart,"['Brandon Lockhart, G.']"
"Richard, Scott F",Scott F Richard,"['Richard, Scott F', 'Richard, Scott F.']"
"Hornok, Cecília",Cecília Hornok,"['Hornok, Cecília']"
Omer Brav,Omer Brav,['Omer Brav']
Joshua Wilde,Joshua Wilde,"['Joshua Wilde', 'Wilde, Joshua']"
J. C. H. Fei,J. C. H. Fei,['J. C. H. Fei']
David A. Starrett,David A. Starrett,"['David A. Starrett', 'Starrett, David A', 'Starrett, David A.']"
"Greene, Jason T.",Jason T. Greene,"['Greene, Jason T.']"
"Menéndez, Marta",Marta Menéndez,"['Menéndez, Marta']"
David Schkade,David Schkade,['David Schkade']
"Kleindorfer, P R",P R Kleindorfer,"['Kleindorfer, P R']"
"van Oordt, Maarten R.C.",Maarten R.C. van Oordt,"['van Oordt, Maarten R.C.']"
Douglas Gollin,Douglas Gollin,"['Douglas Gollin', 'Gollin, Douglas']"
"Skjerpen, Terje",Terje Skjerpen,"['Skjerpen, Terje']"
"Kohlhagen, Steven W.",Steven W. Kohlhagen,"['Kohlhagen, Steven W.', 'Kohlhagen, Steven W']"
Christopher F. Parmeter,Christopher F. Parmeter,"['Christopher F. Parmeter', 'Parmeter, Christopher F.']"
Halbert White,Halbert White,"['Halbert White', 'White, Halbert']"
"Zabel, Edward",Edward Zabel,"['Zabel, Edward']"
"Natvik, Gisle J.",Gisle J. Natvik,"['Natvik, Gisle J.']"
"Levy, Amnon",Amnon Levy,"['Levy, Amnon', 'Levy, Ammon']"
Jonas D. M. Fisher,Jonas D. M. Fisher,"['Jonas D. M. Fisher', 'Jonas D.M. Fisher', 'Fisher, Jonas D.M.', 'Fisher, Jonas D. M.']"
David Lesmond,David Lesmond,['David Lesmond']
"Schoumaker, Francoise",Francoise Schoumaker,"['Schoumaker, Francoise', 'Françoise Schoumaker']"
"Kopányi-Peuker, Anita",Anita Kopányi-Peuker,"['Kopányi-Peuker, Anita']"
"Steinberg, Danny",Danny Steinberg,"['Steinberg, Danny']"
"Gray, Steve",Steve Gray,"['Gray, Steve']"
"Dick, Andrew W.",Andrew W. Dick,"['Dick, Andrew W.', 'Dick, Andrew R.']"
Audra Bowlus,Audra Bowlus,['Audra Bowlus']
Belton M. Fleisher,Belton M. Fleisher,"['Belton M. Fleisher', 'Fleisher, Belton M.', 'Fleisher, Belton M']"
R. C. Geary,R. C. Geary,"['R. C. Geary', 'Geary, R. C.']"
"Holmes, Thomas J.",Thomas J. Holmes,"['Holmes, Thomas J.', 'Thomas J. Holmes', 'Holmes, Thomas J']"
M. Kate Bundorf,M. Kate Bundorf,['M. Kate Bundorf']
Alex Stomper,Alex Stomper,['Alex Stomper']
"Izan, H.Y.",H.Y. Izan,"['Izan, H.Y.', 'Izan, H. Y.']"
Takashi Hayashi,Takashi Hayashi,"['Takashi Hayashi', 'Hayashi, Takashi']"
Timothy R. Berry,Timothy R. Berry,['Timothy R. Berry']
"Ai, Hengjie",Hengjie Ai,"['Ai, Hengjie', 'Hengjie Ai']"
Martin J. Beckmann,Martin J. Beckmann,"['Martin J. Beckmann', 'Beckmann, Martin J.', 'Beckmann, Martin J']"
Thierry Ané,Thierry Ané,['Thierry Ané']
"Barari, Mahua",Mahua Barari,"['Barari, Mahua']"
"Fluckiger, Yves",Yves Fluckiger,"['Fluckiger, Yves']"
Eric Maskin,Eric Maskin,"['Eric Maskin', 'Maskin, Eric']"
"Broughman, Brian",Brian Broughman,"['Broughman, Brian']"
"McKean, Roland N",Roland N McKean,"['McKean, Roland N', 'Roland N. McKean']"
Eyran J. Gisches,Eyran J. Gisches,['Eyran J. Gisches']
"Moulton, Pamela C.",Pamela C. Moulton,"['Moulton, Pamela C.', 'Pamela C. Moulton']"
"Chung, Heetaik",Heetaik Chung,"['Chung, Heetaik']"
"Gilchrist, Simon",Simon Gilchrist,"['Gilchrist, Simon', 'Simon Gilchrist']"
"Chavez-Demoulin, V.",V. Chavez-Demoulin,"['Chavez-Demoulin, V.']"
Patrick Van Cayseele,Patrick Van Cayseele,"['Patrick Van Cayseele', 'Van Cayseele, Patrick']"
A. M. Robert Taylor,A. M. Robert Taylor,"['A. M. Robert Taylor', 'Taylor, A. M. Robert', 'Robert Taylor, A.M.', 'Taylor, A.M. Robert', 'Robert Taylor, A. M.']"
"Nguyen, Huong Giang (Lily)",Huong Giang (Lily) Nguyen,"['Nguyen, Huong Giang (Lily)']"
"Gale, Douglas",Douglas Gale,"['Gale, Douglas', 'Douglas Gale']"
"Boyd, John III",John III Boyd,"['Boyd, John III']"
"Partridge, Mark D",Mark D Partridge,"['Partridge, Mark D', 'Mark D. Partridge', 'Partridge, Mark D.']"
Kim C. Border,Kim C. Border,"['Kim C. Border', 'Border, Kim C', 'Border, Kim C.']"
Louis Putterman,Louis Putterman,"['Louis Putterman', 'Putterman, Louis']"
"Becker, Gary S.",Gary S. Becker,"['Becker, Gary S.', 'Becker, Gary S', 'Gary S. Becker']"
"Byrd, John",John Byrd,"['Byrd, John']"
"Dynan, Karen E",Karen E Dynan,"['Dynan, Karen E', 'Karen E. Dynan', 'Dynan, Karen E.']"
Jérôme Bolte,Jérôme Bolte,['Jérôme Bolte']
"Ben-Ner, Avner",Avner Ben-Ner,"['Ben-Ner, Avner', 'Avner Ben-Ner']"
"Glazer, Jacob",Jacob Glazer,"['Glazer, Jacob', 'Jacob Glazer']"
"Hutchison, Michael",Michael Hutchison,"['Hutchison, Michael', 'Michael Hutchison']"
"Stigler, Stephen M",Stephen M Stigler,"['Stigler, Stephen M', 'Stigler, Stephen M.']"
Cédric Tille,Cédric Tille,"['Cédric Tille', 'Tille, Cedric', 'Tille, Cédric', 'Cedric Tille']"
"Ballou, Jeffrey P.",Jeffrey P. Ballou,"['Ballou, Jeffrey P.']"
Oskar Lange,Oskar Lange,"['Oskar Lange', 'Oscar Lange']"
"Codognato, Giulio",Giulio Codognato,"['Codognato, Giulio']"
Ralph Cassady,Ralph Cassady,['Ralph Cassady']
Ward A. Cutler,Ward A. Cutler,['Ward A. Cutler']
Hans-Peter Kohler,Hans-Peter Kohler,"['Hans-Peter Kohler', 'Kohler, Hans-Peter']"
"May, Laurie",Laurie May,"['May, Laurie']"
"Basant, Rakesh",Rakesh Basant,"['Basant, Rakesh']"
"Coates, Daniel E.",Daniel E. Coates,"['Coates, Daniel E.']"
"Schlenker, Robert E",Robert E Schlenker,"['Schlenker, Robert E']"
"Cheit, Earl F",Earl F Cheit,"['Cheit, Earl F']"
"Miranda, Mario J.",Mario J. Miranda,"['Miranda, Mario J.', 'Miranda, Mario J']"
George H. Hempel,George H. Hempel,"['George H. Hempel', 'Hempel, George H', 'Hempel, George H.']"
"Thygesen, Niels",Niels Thygesen,"['Thygesen, Niels']"
Christopher Polk,Christopher Polk,"['Christopher Polk', 'Polk, Christopher']"
"Gil-Diaz, Francisco",Francisco Gil-Diaz,"['Gil-Diaz, Francisco']"
Benoît Mojon,Benoît Mojon,"['Benoît Mojon', 'Mojon, Benoit', 'Benoit Mojon', 'Mojon, Benoît']"
"deLeeuw, Frank",Frank deLeeuw,"['deLeeuw, Frank', 'de Leeuw, Frank', 'Frank de Leeuw']"
Burcu Eyigungor,Burcu Eyigungor,"['Burcu Eyigungor', 'Eyigungor, Burcu']"
"Hernandez-Cata, Ernesto",Ernesto Hernandez-Cata,"['Hernandez-Cata, Ernesto']"
Mats Persson,Mats Persson,"['Mats Persson', 'Persson, Mats']"
"Dothan, Uri",Uri Dothan,"['Dothan, Uri']"
Jacques Lécaillon,Jacques Lécaillon,['Jacques Lécaillon']
"Cicchetti, Charles J, et al",Charles J Cicchetti,"['Cicchetti, Charles J, et al', 'Charles J. Cicchetti', 'Cicchetti, Charles J']"
Michele Polo,Michele Polo,"['Michele Polo', 'Polo, Michele']"
"Luo, Di",Di Luo,"['Luo, Di']"
Charles M. Torrance,Charles M. Torrance,['Charles M. Torrance']
Camilo García?Jimeno,Camilo García?Jimeno,['Camilo García?Jimeno']
John A. Powers,John A. Powers,['John A. Powers']
"Gu, Xian",Xian Gu,"['Gu, Xian']"
"Rotemberg, Julio J",Julio J Rotemberg,"['Rotemberg, Julio J', 'Rotemberg, Julio J.', 'Julio J. Rotemberg']"
"Wilde, James A",James A Wilde,"['Wilde, James A']"
"Cairncross, Alec",Alec Cairncross,"['Cairncross, Alec']"
Daniel Schunk,Daniel Schunk,['Daniel Schunk']
"Faurot, David J",David J Faurot,"['Faurot, David J']"
Elena Loutskina,Elena Loutskina,"['Elena Loutskina', 'Loutskina, Elena']"
"Corhay, Albert",Albert Corhay,"['Corhay, Albert']"
"Paton, David",David Paton,"['Paton, David', 'David Paton']"
"Samolyk, Katherine A.",Katherine A. Samolyk,"['Samolyk, Katherine A.']"
"Jackson, William III",William III Jackson,"['Jackson, William III']"
"Chayes, Jennifer",Jennifer Chayes,"['Chayes, Jennifer']"
"Gliksberg, Baruch",Baruch Gliksberg,"['Gliksberg, Baruch']"
"Peach, Terry",Terry Peach,"['Peach, Terry']"
"Brownstone, David",David Brownstone,"['Brownstone, David', 'David Brownstone']"
"Rugg, Donald",Donald Rugg,"['Rugg, Donald']"
"Lye, Meng Siong",Meng Siong Lye,"['Lye, Meng Siong']"
Robert F. Wallace,Robert F. Wallace,['Robert F. Wallace']
"Ohanian, Nancy Kane",Nancy Kane Ohanian,"['Ohanian, Nancy Kane']"
"Straub, Martin",Martin Straub,"['Straub, Martin']"
"Frish, Roni",Roni Frish,"['Frish, Roni']"
"Meulendyke, Ann-Marie",Ann-Marie Meulendyke,"['Meulendyke, Ann-Marie']"
"Kali, Raja",Raja Kali,"['Kali, Raja']"
"Oliver, Barry",Barry Oliver,"['Oliver, Barry']"
J. Wise,J. Wise,['J. Wise']
"Upton, Charles W",Charles W Upton,"['Upton, Charles W']"
Owen Ozier,Owen Ozier,['Owen Ozier']
Alexander M. Danzer,Alexander M. Danzer,"['Alexander M. Danzer', 'Danzer, Alexander M.']"
Jean Imbs,Jean Imbs,"['Jean Imbs', 'Imbs, Jean']"
"Barrios, Carolina",Carolina Barrios,"['Barrios, Carolina']"
"Thomas, Shawn",Shawn Thomas,"['Thomas, Shawn', 'Shawn Thomas']"
"Kraakman, Reinier",Reinier Kraakman,"['Kraakman, Reinier']"
"Mulier, Klaas",Klaas Mulier,"['Mulier, Klaas']"
"Kokoski, Mary F",Mary F Kokoski,"['Kokoski, Mary F']"
Martin W. Cripps,Martin W. Cripps,"['Martin W. Cripps', 'Cripps, Martin W', 'Cripps, Martin W.']"
H. A. Shannon,H. A. Shannon,['H. A. Shannon']
"Alvarez, Fernando",Fernando Alvarez,"['Alvarez, Fernando', 'Fernando Alvarez']"
"Subramanian, Ajay",Ajay Subramanian,"['Subramanian, Ajay', 'Ajay Subramanian']"
"Giuliodori, Massimo",Massimo Giuliodori,"['Giuliodori, Massimo', 'Massimo Giuliodori']"
"Van Driel, J.",J. Van Driel,"['Van Driel, J.']"
Todd Gerarden,Todd Gerarden,['Todd Gerarden']
Thomas Siedler,Thomas Siedler,"['Thomas Siedler', 'Siedler, Thomas']"
"Hsieh, David",David Hsieh,"['Hsieh, David']"
Francois Bourguignon,Francois Bourguignon,"['Francois Bourguignon', 'François Bourguignon', 'Bourguignon, Francois']"
"D’Apice, Vincenzo",Vincenzo D’Apice,"['D’Apice, Vincenzo']"
"Zacher, Mark W.",Mark W. Zacher,"['Zacher, Mark W.']"
"Cheong, Juyoung",Juyoung Cheong,"['Cheong, Juyoung']"
"Seear, Nancy",Nancy Seear,"['Seear, Nancy']"
"Lach, Saul",Saul Lach,"['Lach, Saul', 'Saul Lach']"
"Oaxaca, Ronald L.",Ronald L. Oaxaca,"['Oaxaca, Ronald L.', 'Oaxaca, Ronald L', 'Ronald L. Oaxaca']"
Hualin Wan,Hualin Wan,['Hualin Wan']
Jan Drewnowski,Jan Drewnowski,"['Jan Drewnowski', 'Drewnowski, Jan']"
"Steinhauer, Larry",Larry Steinhauer,"['Steinhauer, Larry']"
"Bradford, William D",William D Bradford,"['Bradford, William D']"
Walker Mark,Walker Mark,['Walker Mark']
"Nathan, Robert R",Robert R Nathan,"['Nathan, Robert R']"
George W. Kuehn,George W. Kuehn,['George W. Kuehn']
"Evans, Martin D.D.",Martin D.D. Evans,"['Evans, Martin D.D.', 'D.D. Evans, Martin', 'Evans, Martin D. D.', 'Martin D. D. Evans']"
"Nugent, Jeffrey B.",Jeffrey B. Nugent,"['Nugent, Jeffrey B.', 'Jeffrey B. Nugent', 'Nugent, Jeffrey B']"
C. J. Primm,C. J. Primm,['C. J. Primm']
"Leonard, Gregory K",Gregory K Leonard,"['Leonard, Gregory K', 'Leonard, Gregory K.']"
Maureen T. Rimmer,Maureen T. Rimmer,['Maureen T. Rimmer']
"Giné, Xavier",Xavier Giné,"['Giné, Xavier', 'Xavier Giné', 'Gin, Xavier']"
"Bell, Brian D",Brian D Bell,"['Bell, Brian D', 'Brian D. Bell']"
"Iyigun, Murat",Murat Iyigun,"['Iyigun, Murat', 'Murat Iyigun']"
"Baytas, Ahmet",Ahmet Baytas,"['Baytas, Ahmet']"
Lasse Heje Pedersen,Lasse Heje Pedersen,"['Lasse Heje Pedersen', 'Pedersen, Lasse Heje']"
Nissan Liviatan,Nissan Liviatan,"['Nissan Liviatan', 'Liviatan, Nissan']"
"Negakis, Christos I.",Christos I. Negakis,"['Negakis, Christos I.']"
Author-Name: John Geanakoplos,Author-Name: John Geanakoplos,['Author-Name: John Geanakoplos']
"Olson, C Vincent",C Vincent Olson,"['Olson, C Vincent']"
"Bailey, Duncan",Duncan Bailey,"['Bailey, Duncan']"
"Gao, Grace",Grace Gao,"['Gao, Grace']"
"Nakajima, Jouchi",Jouchi Nakajima,"['Nakajima, Jouchi']"
Daniel Parent,Daniel Parent,"['Daniel Parent', 'Parent, Daniel']"
"Farris, Martin T",Martin T Farris,"['Farris, Martin T']"
"Easterly, William",William Easterly,"['Easterly, William', 'William Easterly']"
Mark A. Wynne,Mark A. Wynne,"['Mark A. Wynne', 'Wynne, Mark A.']"
"Alldredge, Dallin M.",Dallin M. Alldredge,"['Alldredge, Dallin M.']"
"Kang, Hyunju",Hyunju Kang,"['Kang, Hyunju']"
"Albornoz, Facundo",Facundo Albornoz,"['Albornoz, Facundo']"
"Davies, James B",James B Davies,"['Davies, James B', 'James B. Davies', 'Davies, James B.']"
"Dahiya, Sandeep",Sandeep Dahiya,"['Dahiya, Sandeep', 'Sandeep Dahiya']"
"Dickinson, David L.",David L. Dickinson,"['Dickinson, David L.', 'Dickinson, David L', 'Dickinson, David G.']"
Zheng Liu,Zheng Liu,"['Zheng Liu', 'Liu, Zheng']"
"Liao, Hsien-Hsing",Hsien-Hsing Liao,"['Liao, Hsien-Hsing']"
"Gehrels, Franz",Franz Gehrels,"['Gehrels, Franz', 'Franz Gehrels']"
"Phelps Brown, E H",E H Phelps Brown,"['Phelps Brown, E H']"
"Makin, J H",J H Makin,"['Makin, J H']"
"Haque, Nadeem U.",Nadeem U. Haque,"['Haque, Nadeem U.', 'Haque, Nadeem U']"
"Brau, James C.",James C. Brau,"['Brau, James C.', 'James C. Brau']"
Jay Bhattacharya,Jay Bhattacharya,"['Jay Bhattacharya', 'Bhattacharya, Jay']"
"Ragazzi, Giorgio",Giorgio Ragazzi,"['Ragazzi, Giorgio']"
Peter L. Swan,Peter L. Swan,"['Peter L. Swan', 'Swan, Peter L.', 'Swan, Peter L']"
"Zhang, Weining",Weining Zhang,"['Zhang, Weining']"
Karl B. Diether,Karl B. Diether,['Karl B. Diether']
Gerald Carlino,Gerald Carlino,"['Gerald Carlino', 'Carlino, Gerald']"
"Hribar, Paul",Paul Hribar,"['Hribar, Paul']"
"Reffett, Kevin L.",Kevin L. Reffett,"['Reffett, Kevin L.', 'Reffett, Kevin L']"
"Ward, Colin",Colin Ward,"['Ward, Colin']"
Marc D. Weidenmier,Marc D. Weidenmier,"['Marc D. Weidenmier', 'Weidenmier, Marc D.']"
"Blundell, Richard W",Richard W Blundell,"['Blundell, Richard W', 'Richard W. Blundell']"
"Dantzig, George B.",George B. Dantzig,"['Dantzig, George B.', 'Dantzig, George B']"
Charles Engel,Charles Engel,"['Charles Engel', 'Engel, Charles']"
Peter Burton,Peter Burton,['Peter Burton']
"Fan, Shenggen",Shenggen Fan,"['Fan, Shenggen', 'Fan, Shenggan']"
Michel Moreaux,Michel Moreaux,"['Michel Moreaux', 'Moreaux, Michel']"
Maurice L. Muhleman,Maurice L. Muhleman,['Maurice L. Muhleman']
"Neme, Alejandro",Alejandro Neme,"['Neme, Alejandro']"
"McElroy, Michael B",Michael B McElroy,"['McElroy, Michael B']"
Konrad B. Burchardi,Konrad B. Burchardi,['Konrad B. Burchardi']
"Gagnon, Joseph",Joseph Gagnon,"['Gagnon, Joseph']"
"Zigic, Kresimir",Kresimir Zigic,"['Zigic, Kresimir']"
"Yohe, Gary W.",Gary W. Yohe,"['Yohe, Gary W.', 'Yohe, Gary W', 'Gary W. Yohe']"
"Shamloo, Maral",Maral Shamloo,"['Shamloo, Maral']"
Jonathan Morduch,Jonathan Morduch,"['Jonathan Morduch', 'Morduch, Jonathan']"
"Vikström, Johan",Johan Vikström,"['Vikström, Johan', 'Johan Vikström']"
"Joh, Sung Wook",Sung Wook Joh,"['Joh, Sung Wook', 'Sung Wook Joh']"
Andrew K. G. Hildreth,Andrew K. G. Hildreth,"['Andrew K. G. Hildreth', 'Hildreth, Andrew K G']"
Sophie Moinas,Sophie Moinas,"['Sophie Moinas', 'Moinas, Sophie']"
"Friesen, Lana",Lana Friesen,"['Friesen, Lana', 'Lana Friesen']"
"Young, H. P.",H. P. Young,"['Young, H. P.']"
Jong-Wha Lee,Jong-Wha Lee,"['Jong-Wha Lee', 'Lee, Jong-Wha', 'Lee, Jong Wha']"
"Vickrey, William S",William S Vickrey,"['Vickrey, William S', 'Vickrey, William S.']"
John Ameriks,John Ameriks,['John Ameriks']
Elizabeth Goldreyer,Elizabeth Goldreyer,['Elizabeth Goldreyer']
Donald F. Heatherington,Donald F. Heatherington,['Donald F. Heatherington']
Hazel Van Dyke Roberts,Hazel Van Dyke Roberts,['Hazel Van Dyke Roberts']
"Okamura, Makoto",Makoto Okamura,"['Okamura, Makoto']"
James Maw,James Maw,"['James Maw', 'Maw, James']"
B. J. Moore,B. J. Moore,"['B. J. Moore', 'Moore, B. J.']"
James A. Berkovec,James A. Berkovec,['James A. Berkovec']
"Hwang, Chuan Yang",Chuan Yang Hwang,"['Hwang, Chuan Yang', 'Hwang, Chuan-Yang', 'Chuan-Yang Hwang']"
"Bazerman, Max H",Max H Bazerman,"['Bazerman, Max H', 'Max H. Bazerman']"
Miguel Urquiola,Miguel Urquiola,"['Miguel Urquiola', 'Urquiola, Miguel']"
"Dahl, Carol A",Carol A Dahl,"['Dahl, Carol A', 'Dahl, Carol A.']"
Mark L. Pocock,Mark L. Pocock,['Mark L. Pocock']
"Adams, Mike",Mike Adams,"['Adams, Mike']"
"Cao, Dan",Dan Cao,"['Cao, Dan', 'Dan Cao']"
Ryuichiro Ishikawa,Ryuichiro Ishikawa,['Ryuichiro Ishikawa']
"Thisse, Jacques F.",Jacques F. Thisse,"['Thisse, Jacques F.']"
"Wilson, T",T Wilson,"['Wilson, T']"
"Kirk, Marcus",Marcus Kirk,"['Kirk, Marcus']"
"Korniotis, George M.",George M. Korniotis,"['Korniotis, George M.', 'George M. Korniotis', 'George M Korniotis']"
Douglas Staiger,Douglas Staiger,['Douglas Staiger']
Todd C. Neumann,Todd C. Neumann,['Todd C. Neumann']
"Portugal, Pedro",Pedro Portugal,"['Portugal, Pedro', 'Pedro Portugal']"
"Vallelado, Eleuterio",Eleuterio Vallelado,"['Vallelado, Eleuterio']"
"Bulkley, George",George Bulkley,"['Bulkley, George']"
"Begg, David K. H.",David K. H. Begg,"['Begg, David K. H.', 'David K. H. Begg']"
Greg C. Wright,Greg C. Wright,"['Greg C. Wright', 'Wright, Greg C.']"
Amir E. Khandani,Amir E. Khandani,"['Amir E. Khandani', 'Khandani, Amir E.']"
Stefano Corradin,Stefano Corradin,['Stefano Corradin']
"Kübler, Dorothea",Dorothea Kübler,"['Kübler, Dorothea', 'Dorothea Kübler']"
Pricila Maziero,Pricila Maziero,"['Pricila Maziero', 'Maziero, Pricila']"
"Ghosh, Arpita",Arpita Ghosh,"['Ghosh, Arpita']"
"Mocetti, Sauro",Sauro Mocetti,"['Mocetti, Sauro']"
"Barucci, Emilio",Emilio Barucci,"['Barucci, Emilio']"
"Dudley, Carlton L, Jr",Carlton L Dudley,"['Dudley, Carlton L, Jr']"
Philip Haile,Philip Haile,['Philip Haile']
"Jones, Philip R.",Philip R. Jones,"['Jones, Philip R.', 'Jones, Philip R']"
"Ouellette, Pierre",Pierre Ouellette,"['Ouellette, Pierre', 'Pierre Ouellette']"
Colin J. Hottman,Colin J. Hottman,['Colin J. Hottman']
"Xu, Zibo",Zibo Xu,"['Xu, Zibo']"
"Jaramillo, Fernando",Fernando Jaramillo,"['Jaramillo, Fernando']"
"Meissner, Christopher M.",Christopher M. Meissner,"['Meissner, Christopher M.', 'Christopher M. Meissner']"
"Gokmen, Gunes",Gunes Gokmen,"['Gokmen, Gunes']"
W. L. Mackenzie King,W. L. Mackenzie King,['W. L. Mackenzie King']
Nikolaos Theodoropoulos,Nikolaos Theodoropoulos,['Nikolaos Theodoropoulos']
Joe A. Stone,Joe A. Stone,"['Joe A. Stone', 'Stone, Joe A', 'Stone, Joe A.']"
"Loehman, Edna T",Edna T Loehman,"['Loehman, Edna T']"
"Fung, W K H",W K H Fung,"['Fung, W K H']"
"Schlotter, Martin",Martin Schlotter,"['Schlotter, Martin']"
"Cohen, Kalman J",Kalman J Cohen,"['Cohen, Kalman J', 'Kalman J. Cohen', 'Cohen, Kalman J.', 'Cohen, Kalman J, et al']"
Bing Han,Bing Han,"['Bing Han', 'Han, Bing']"
"Gregg, Paul",Paul Gregg,"['Gregg, Paul', 'Paul Gregg']"
Donald J. Harris,Donald J. Harris,"['Donald J. Harris', 'Harris, Donald J']"
Ethan Lewis,Ethan Lewis,['Ethan Lewis']
"Wang, Yijiang",Yijiang Wang,"['Wang, Yijiang', 'Yijiang Wang']"
Shinkyu Yang,Shinkyu Yang,['Shinkyu Yang']
"Hallsworth, Michael",Michael Hallsworth,"['Hallsworth, Michael']"
"McAvoy, Alex",Alex McAvoy,"['McAvoy, Alex']"
"West, Guy R",Guy R West,"['West, Guy R']"
"Sterling, Arlie",Arlie Sterling,"['Sterling, Arlie']"
"Linnemer, Laurent",Laurent Linnemer,"['Linnemer, Laurent', 'Laurent Linnemer']"
"Su, Li",Li Su,"['Su, Li']"
Ji-Chai Lin,Ji-Chai Lin,"['Ji-Chai Lin', 'Lin, Ji-Chai']"
"Normann, Goran",Goran Normann,"['Normann, Goran']"
John A List,John A List,"['John A List', 'List, John A.', 'List, John A', 'John A. List']"
"Berry, James",James Berry,"['Berry, James', 'James Berry']"
Jensen Michael C.,Jensen Michael C.,['Jensen Michael C.']
"Chow, K. Victor",K. Victor Chow,"['Chow, K. Victor']"
"Kelejian, Harry",Harry Kelejian,"['Kelejian, Harry']"
G. Heberton Evans,G. Heberton Evans,['G. Heberton Evans']
"Morrison, Andrew R.",Andrew R. Morrison,"['Morrison, Andrew R.']"
C. E. Dankert,C. E. Dankert,['C. E. Dankert']
"Shughart, William F, II",William F Shughart,"['Shughart, William F, II']"
"Hennessy, Christopher A.",Christopher A. Hennessy,"['Hennessy, Christopher A.', 'Christopher A. Hennessy']"
"Jondrow, James",James Jondrow,"['Jondrow, James']"
"Meullbauer, John",John Meullbauer,"['Meullbauer, John']"
Vijay Singal,Vijay Singal,"['Vijay Singal', 'Singal, Vijay']"
Trevon D. Logan,Trevon D. Logan,['Trevon D. Logan']
Zeigham Khokher,Zeigham Khokher,['Zeigham Khokher']
Olivier Scaillet,Olivier Scaillet,"['Olivier Scaillet', 'Scaillet, Olivier']"
"Queijo von Heideken, Virginia",Virginia Queijo von Heideken,"['Queijo von Heideken, Virginia']"
"McDowell, John M",John M McDowell,"['McDowell, John M', 'John M. McDowell', 'McDowell, John M.']"
"Beato, Paulina",Paulina Beato,"['Beato, Paulina', 'Paulina Beato']"
Barton A. Smith,Barton A. Smith,"['Barton A. Smith', 'Smith, Barton A', 'Baron A. Smith']"
Robert P. Flood,Robert P. Flood,"['Robert P. Flood', 'Flood, Robert P.', 'Flood, Robert P']"
"Wisecarver, Daniel L",Daniel L Wisecarver,"['Wisecarver, Daniel L']"
"Levi, Shai",Shai Levi,"['Levi, Shai']"
Allan D. Brunner,Allan D. Brunner,"['Allan D. Brunner', 'Brunner, Allan D']"
Samuel H. Dinkin,Samuel H. Dinkin,['Samuel H. Dinkin']
"Bagliano, Fabio-Cesare",Fabio-Cesare Bagliano,"['Bagliano, Fabio-Cesare']"
Qiwei Yao,Qiwei Yao,"['Qiwei Yao', 'Yao, Qiwei']"
"Altmann, Steffen",Steffen Altmann,"['Altmann, Steffen', 'Steffen Altmann']"
"Strickland, Allyn D",Allyn D Strickland,"['Strickland, Allyn D']"
Douglas Stone,Douglas Stone,['Douglas Stone']
"Van Moeseke, Paul",Paul Van Moeseke,"['Van Moeseke, Paul', 'Paul van Moeseke']"
"Garcia, Nancy L.",Nancy L. Garcia,"['Garcia, Nancy L.']"
"Pellegrini, Guido",Guido Pellegrini,"['Pellegrini, Guido']"
"Park, Daekeun",Daekeun Park,"['Park, Daekeun']"
Vihang R. Errunza,Vihang R. Errunza,"['Vihang R. Errunza', 'Errunza, Vihang R', 'Errunza, Vihang R.']"
"Brandes, Leif",Leif Brandes,"['Brandes, Leif']"
Yan Bai,Yan Bai,"['Yan Bai', 'Bai, Yan']"
"Revankar, Nagesh S",Nagesh S Revankar,"['Revankar, Nagesh S', 'Nagesh S. Revankar', 'Revankar, Nagesh S.']"
"Macis, Mario",Mario Macis,"['Macis, Mario', 'Mario Macis']"
Melvin D. Brockie,Melvin D. Brockie,['Melvin D. Brockie']
Laurence C. Rosenberg,Laurence C. Rosenberg,['Laurence C. Rosenberg']
Pierfederico Asdrubali,Pierfederico Asdrubali,"['Pierfederico Asdrubali', 'Asdrubali, Pierfederico']"
"Zuo, Luo",Luo Zuo,"['Zuo, Luo', 'Luo Zuo']"
"Dunz, Karl",Karl Dunz,"['Dunz, Karl']"
"Zhang, Xinyu",Xinyu Zhang,"['Zhang, Xinyu']"
Söhnke M. Bartram,Söhnke M. Bartram,"['Söhnke M. Bartram', 'Bartram, Sohnke M.', 'Bartram, Söhnke M.']"
